,Bachelor_s,total_popu,Per_capita,Median_num,Median_val,All_famili,Unemployme,vegetation,Median_fam,impervious,Bachelor_p
0,1.7,2064,16648,5.3,381400,498,14,0.44725738,59931,84.455696,0.08236434
1,0,1574,12864,4.4,585400,336,12,0.06748466,24594,90.515337,0
2,13.5,3484,23811,4.9,489500,776,11.4,0.34170854,58125,86.643216,0.3874856
3,0,0,17919,0,0,0,0,3.22610723,0,63.911422,0
4,4.4,2586,19270,4.8,457600,596,21.3,0.35353535,64732,87.040404,0.1701469
5,16.9,2018,17694,4.7,569700,488,13.8,0.96907216,49020,87.819588,0.8374628
6,10,5005,18254,4.9,431800,1042,21.5,0.14932127,52681,87.927602,0.1998002
7,14.3,2380,21053,3.8,0,615,15.2,7.94680851,16759,72.154255,0.6008403
8,20.8,3149,18962,4.2,503200,688,2.7,1.52066116,53647,77.309917,0.6605272
9,11.6,8577,0,4,492300,1912,6.1,0,44137,90.039427,0.1352454
10,13.6,6132,27123,3.6,313500,1447,10.2,5.94648829,42330,77.003344,0.2217873
11,14,5947,34338,4.8,573900,1359,3.7,0.70860927,57206,86.470199,0.2354128
12,3.6,4101,17027,3.7,354500,946,5,2.10810811,42471,72.193694,0.08778347
13,23.1,6453,22935,4.3,236000,1599,10.7,2.33797909,34734,77.348432,0.357973
14,24.2,5583,36692,3.9,379000,1030,3.9,0.05263158,63952,88.929825,0.4334587
15,14.1,5560,20958,3.7,226800,1105,5.7,2.93430657,55121,83.317518,0.2535971
16,13.6,1443,20764,4.4,596400,359,0,0.76131687,71167,85.621399,0.9424809
17,39.1,1210,22173,3.9,477900,235,3,1.04166667,71199,88.845238,3.231405
18,4.8,3530,43838,4.2,294400,669,11.5,1.17674419,40861,75.709302,0.1359773
19,5.8,2307,32766,6,438800,466,5.6,6.85434174,75731,50.591036,0.2514088
20,19.7,3699,0,4.9,591000,977,6.3,4.53874539,81420,75.559041,0.5325764
21,23.6,1254,27703,3.9,588000,265,13.1,2.71502591,76571,77.953368,1.881978
22,0,2004,22193,5.3,350400,437,8,2.16595745,61250,75.259574,0
23,0,2795,18699,5,390300,586,17.7,6.06598985,41406,67.593909,0
24,0,1279,19952,5.5,345500,332,14.2,5.7375,42283,68.1,0
25,16.5,6470,18906,3.7,409400,1322,11.2,0.52727273,49623,86.554545,0.2550232
26,6.3,4065,21528,3.7,513400,881,3.5,4.71291866,50081,79.84689,0.1549815
27,11.2,1947,20380,4.1,365200,347,31.3,2.82653061,58558,72.295918,0.575244
28,49.5,3241,22835,4.2,579200,361,4.9,0,53578,93.64441,1.527306
29,0,0,37033,0,0,0,0,10.92335766,0,1.471455,0
30,2.6,7210,32625,4.8,367400,1617,23.7,2.50444444,30750,64.226667,0.03606103
31,18.5,7099,39982,4.4,461000,1485,2.1,3.73173804,62222,72.298489,0.2606001
32,33.1,6865,26271,5.7,639400,1738,12.5,7.29846154,84570,70.311795,0.4821559
33,28.5,6740,34752,5,580500,1769,6.6,4.93340494,83676,70.860365,0.4228487
34,31.9,3730,28924,6.1,653400,999,0,5.42344828,76042,72.343448,0.8552279
35,9.7,1830,23121,5.4,356100,393,13.5,4.15384615,69063,71.408654,0.5300546
36,7.1,8706,22221,3.2,324500,2154,6.4,0,36588,90.818182,0.08155295
37,9.1,2598,17927,5.3,304300,460,2.7,1.56976744,45260,82.430233,0.3502694
38,5.5,8114,22847,3.9,236300,1709,12.4,1.71848739,46267,86.071429,0.06778408
39,0,1716,23758,5,361000,403,0.9,2.06134969,66724,82.404908,0
40,0,2557,20984,4.6,343800,540,9.9,6.37563452,39750,65.862944,0
41,12.6,6016,41373,3.4,247100,1356,10.9,1.66497462,52756,76.812183,0.2094415
42,0,1717,28184,5.2,322200,358,7.1,4.52486188,73214,72.78453,0
43,21.3,4714,22588,3.4,269800,1051,5.4,1.35233161,61857,79.507772,0.4518456
44,6.7,1616,28793,5.6,350700,367,12.9,1.85714286,75798,78.369458,0.414604
45,6.8,4143,22828,5.2,375500,908,10.9,3.95168067,68682,74.897059,0.1641323
46,24.4,3939,41717,5.8,707500,936,10.1,7.86001181,97803,65.893089,0.6194466
47,3.6,2502,39663,4.9,609200,554,0,1.12582781,73750,83.228477,0.1438849
48,8.8,4085,18588,5.1,322500,975,13.3,3.45093946,66712,55.604384,0.2154223
49,16.9,2102,23785,5.9,1000000,577,0,3.97191011,100789,69.654494,0.8039962
50,15,2149,43221,6.3,691600,574,5.5,9.32478632,101000,64.680342,0.6979991
51,5.5,2296,25448,6.2,699100,639,10.5,4.6878453,90625,66.754144,0.239547
52,26.5,2577,26241,5.6,631000,720,1.4,4.08435374,93818,72.163265,1.028328
53,14.8,6375,0,5,427900,1765,8.4,11.96491228,91864,57.239766,0.2321569
54,5,3983,25737,4.5,432300,844,24.5,2.76934985,51540,56.786378,0.1255335
55,0,1210,20106,2.8,0,73,67.6,4.30362117,13750,73.615599,0
56,0,0,21130,0,0,0,0,18.08519553,0,38.518156,0
57,14.6,6370,0,4.8,585400,1028,8.2,0.25915493,25879,89.512676,0.2291994
58,29.8,2319,26550,4.7,631600,502,19.9,3.71521036,77625,73.556634,1.285037
59,36.7,1678,35511,6,677200,401,6.3,15.78455285,80464,59.28252,2.187128
60,25.1,3994,37650,5.9,496200,930,6.3,0.40661939,74659,82.510638,0.6284427
61,20.8,2155,22901,5.1,588800,577,2.1,12.70959596,80924,63.313131,0.9651972
62,31.1,3580,18695,4.1,511300,853,8.3,8.29534884,90000,67.704651,0.8687151
63,38.7,2176,17606,6.6,643400,652,18.8,13.53024194,111731,59.03629,1.778493
64,47.3,5539,32525,7.5,770000,1499,4.6,30.42857143,170833,55.714286,0.8539448
65,7.5,4470,18111,3.9,850500,1000,16.1,0.4591195,55625,87.238994,0.1677852
66,2.1,3709,14647,3.5,0,825,14.7,1.05440415,34559,80.515544,0.05661903
67,57,4353,103664,3.6,1000000,972,9.5,1.5078125,240441,78.054688,1.309442
68,23.3,2632,86573,2.9,510900,611,1.8,1.21153846,129167,81.076923,0.8852584
69,0,2153,37575,4,343300,534,10.7,0,28603,84.428571,0
70,0,4580,17255,3.2,306600,1225,0,1.27319588,52421,75.56701,0
